3,4,4,4,4,4,4,4,4,4,4,4,4,4,5
9,0,1,2,10,10,10,10,10,10,10,10,10,10,11
9,12,7,8,10,10,10,10,10,10,10,10,10,10,11
9,10,12,14,0,1,1,1,1,2,10,10,10,10,11
9,10,10,10,6,7,3,4,5,8,10,10,10,10,11
9,10,10,10,6,7,9,10,11,8,10,10,10,10,11
9,10,10,10,6,7,15,16,17,8,10,10,10,10,11
9,10,10,10,12,13,13,13,13,14,10,10,10,10,11
9,10,10,10,10,10,10,10,10,10,10,10,10,10,11
9,10,10,10,10,10,10,10,10,10,10,10,10,10,11
9,10,10,10,10,10,10,10,10,10,10,10,10,10,11
9,10,10,10,10,10,10,10,10,10,10,10,10,10,11
9,10,10,10,10,10,10,10,10,10,10,10,10,10,11
9,10,10,10,10,10,10,10,10,10,10,10,10,10,11
15,16,16,16,16,16,16,16,16,16,16,16,16,16,17
